SHAMAN/MICHAEL TWOYO    6.801701419382322
POWER MAN/ERIK JOSTE    6.702842363127516
PHARAOH RAMA-TUT    6.623692986528203
GORGON [INHUMAN]    6.605337428291789
THANOS  6.576614308237189
"OSBORN, LIZ ALLAN" 6.529093229205928
"ROSS, GEN. THADDEUS "  6.512824829357987
MEGGAN  6.450855668455543
AURORA/JEANNE-MARIE     6.41826629381683
DR. DRUID/ANTHONY LU    6.242361826827437
ENCHANTRESS/AMORA/HE    6.225959488481826
"PAGE, KAREN"   6.147559298069206
LOCKJAW [INHUMAN]   6.128135805805784
CYPHER/DOUG RAMSEY  6.12222564986737
CLEA    6.109146531888714
SIRYN/THERESA ROURKE    6.063050506130631
MYSTIQUE/RAVEN DARKH    5.981636092345469
"GRANT, GLORIA GLORY"   5.912330982651961
STRONG GUY/GUIDO CAR    5.9013209185147835
NIGHT THRASHER/DUANE    5.869803573418611
SCREAMING MIMI/MELIS    5.84450305565405
"COOPER, DR. VALERIE"   5.829409392478756
"WATSON, ANNA"  5.822903132214564
RICTOR/JULIO ESTEBAN    5.817292934718651
MAGIK/ILLYANA RASPUT    5.816765276891833
MULTIPLE MAN/JAMES A    5.800676014162004
HEIMDALL [ASGARDIAN]    5.784520044492328
BEETLE/ABNER RONALD     5.756578113376077
HUMAN TORCH ANDROID/    5.722285313740451
WARLOCK III 5.659595707541984
DARKHAWK/CHRIS POWEL    5.6349857192589266
LIVING LIGHTNING/MIG    5.608155245166506
LOCKHEED    5.557957813558599
SANDMAN/WILLIAM BAKE    5.501667907973769
BLOB/FRED J. DUKES  5.483942939264394
"HARKNESS, AGATHA"  5.444463150417598
GHOST RIDER II/JOHNN    5.392842089647795
TRITON  5.388657476941468
GHOST RIDER III/DAN     5.372346793223151
LILANDRA NERAMANI [S    5.349250436507461
"KNIGHT, MISTY" 5.329122411310495
MEPHISTO    5.311637413047648
DAZZLER II/ALLISON B    5.294778171401848
NIGHTHAWK II/KYLE RI    5.275688083302538
DRAX/ARTHUR DOUGLAS 5.240386382824056
"JAMESON, COL. JOHN "   5.231058028373717
APOCALYPSE/EN SABAH     5.225084969877649
HUSK/PAIGE GUTHRIE  5.195697413253093
WARLOCK II/ADAM WARL    5.176099797094583
DOC SAMSON/DR. LEONA    5.163645644607508
ANT-MAN II/SCOTT HAR    5.155151834216298
"GYRICH, HENRY PETER"   5.131351778523561
CHAMBER/JONOTHON STA    5.063584575502725
DOMINO III/BEATRICE/    5.032244724836661
NOVA II/FRANKIE RAYE    4.940276596226536
SYNCH/EVERETT THOMAS    4.888950046676623
SKIDS/SALLY BLEVINS 4.840794663018472
SKIN/ANGELO ESPINOSA    4.829506294689674
FIXER II/PAUL NORBER    4.818013949630887
GREEN GOBLIN/NORMAN     4.816568820432119
"SUMMERS, MADELYNE MA"  4.754370708913092
LIZARD/DR. CURTIS CO    4.631102465012815
MARROW/SARAH    4.5957053368314105
BLACK CAT/FELICIA HA    4.572448750879306
DR. OCTOPUS/OTTO OCT    4.562303269621019
GEE/ALEX POWER  4.543226816559856
"CARTER, SHARON"    4.534638075425382
KA-ZAR/KEVIN PLUNDER    4.490958629382823
LYJA LAZERFIST [SKRU    4.4685027664162424
PYRO/ALLERDYCE JOHNN    4.4289079184748665
STARSHINE II/BRANDY     4.397545779438069
CLOAK/TYRONE JOHNSON    4.370089612905663
"HOGAN, VIRGINIA PEPP"  4.362241832466095
BUCKY/BUCKY BARNES  4.355195005505952
LEECH   4.328739343191887
"KINCAID, DR. JANE FO"  4.3257426169197455
HIGH EVOLUTIONARY/HE    4.2908762858497145
CITIZEN V II/HELMUT     4.278811741585291
PENANCE/MONET ST. CR    4.275513573297527
CAPTAIN MARVEL/CAPTA    4.269102495226123
WILD CHILD/KYLE GIBN    4.268870395662871
